detector_a,detector_b,mean_monthly_jaccard
52W_HIGH,LOW_VOL_252,0.180212722
52W_HIGH,MOMENTUM_12_1,0.261090465
52W_HIGH,MOMENTUM_6_1,0.276856374
52W_HIGH,MOMENTUM_LOW_VOL,0.179294694
52W_HIGH,REVERSAL_21,0.009681328
52W_HIGH,VOLUME_SURGE,0.214594254
LOW_VOL_252,MOMENTUM_12_1,0.051629766
LOW_VOL_252,MOMENTUM_6_1,0.061360085
LOW_VOL_252,MOMENTUM_LOW_VOL,0.253686564
LOW_VOL_252,REVERSAL_21,0.066481642
LOW_VOL_252,VOLUME_SURGE,0.082620131
MOMENTUM_12_1,MOMENTUM_6_1,0.420902966
MOMENTUM_12_1,MOMENTUM_LOW_VOL,0.103766581
MOMENTUM_12_1,REVERSAL_21,0.140257702
MOMENTUM_12_1,VOLUME_SURGE,0.264250919
MOMENTUM_6_1,MOMENTUM_LOW_VOL,0.099998222
MOMENTUM_6_1,REVERSAL_21,0.147746569
MOMENTUM_6_1,VOLUME_SURGE,0.297828392
MOMENTUM_LOW_VOL,REVERSAL_21,0.046139621
MOMENTUM_LOW_VOL,VOLUME_SURGE,0.085517355
REVERSAL_21,VOLUME_SURGE,0.120326566
