detector,year,known_n,selected_n,precision,base_rate,lift
52W_HIGH,2017,617,111,0.16216216216216217,0.20745542949756887,0.7816722972972974
52W_HIGH,2018,627,122,0.22950819672131148,0.37320574162679426,0.6149642707019757
52W_HIGH,2019,575,109,0.1651376146788991,0.19130434782608696,0.8632193494578816
52W_HIGH,2020,575,103,0.2815533980582524,0.2539130434782609,1.108857560845857
52W_HIGH,2021,598,110,0.02727272727272727,0.07190635451505016,0.3792811839323467
52W_HIGH,2022,663,137,0.051094890510948905,0.12066365007541478,0.42344890510948907
52W_HIGH,2023,646,126,0.1984126984126984,0.18885448916408668,1.0506115014311737
52W_HIGH,2024,602,112,0.25892857142857145,0.1893687707641196,1.367324561403509
52W_HIGH,2025,343,56,0.21428571428571427,0.282798833819242,0.7577319587628866
LOW_VOL_252,2017,617,138,0.057971014492753624,0.20745542949756887,0.27943840579710144
LOW_VOL_252,2018,627,123,0.2601626016260163,0.37320574162679426,0.6971023556389411
LOW_VOL_252,2019,575,118,0.13559322033898305,0.19130434782608696,0.7087827426810478
LOW_VOL_252,2020,575,117,0.07692307692307693,0.2539130434782609,0.3029504741833509
LOW_VOL_252,2021,598,124,0.07258064516129033,0.07190635451505016,1.0093773443360843
LOW_VOL_252,2022,663,134,0.07462686567164178,0.12066365007541478,0.6184701492537312
LOW_VOL_252,2023,646,132,0.06060606060606061,0.18885448916408668,0.3209140586189767
LOW_VOL_252,2024,602,128,0.09375,0.1893687707641196,0.49506578947368424
LOW_VOL_252,2025,343,79,0.3037974683544304,0.282798833819242,1.0742529035625734
MOMENTUM_12_1,2017,617,103,0.39805825242718446,0.20745542949756887,1.9187651699029127
MOMENTUM_12_1,2018,627,112,0.24107142857142858,0.37320574162679426,0.6459478021978022
MOMENTUM_12_1,2019,575,107,0.16822429906542055,0.19130434782608696,0.8793542905692437
MOMENTUM_12_1,2020,575,84,0.34523809523809523,0.2539130434782609,1.3596705805609914
MOMENTUM_12_1,2021,598,110,0.03636363636363636,0.07190635451505016,0.505708245243129
MOMENTUM_12_1,2022,663,141,0.06382978723404255,0.12066365007541478,0.5289893617021276
MOMENTUM_12_1,2023,646,131,0.2824427480916031,0.18885448916408668,1.4955575021899639
MOMENTUM_12_1,2024,602,113,0.36283185840707965,0.1893687707641196,1.9160068312373857
MOMENTUM_12_1,2025,343,48,0.25,0.282798833819242,0.884020618556701
MOMENTUM_6_1,2017,617,114,0.30701754385964913,0.20745542949756887,1.4799205043859651
MOMENTUM_6_1,2018,627,119,0.3277310924369748,0.37320574162679426,0.8781512605042017
MOMENTUM_6_1,2019,575,108,0.23148148148148148,0.19130434782608696,1.210016835016835
MOMENTUM_6_1,2020,575,94,0.3404255319148936,0.2539130434782609,1.3407169921305742
MOMENTUM_6_1,2021,598,112,0.008928571428571428,0.07190635451505016,0.12416943521594685
MOMENTUM_6_1,2022,663,138,0.08695652173913043,0.12066365007541478,0.7206521739130435
MOMENTUM_6_1,2023,646,136,0.19117647058823528,0.18885448916408668,1.0122950819672132
MOMENTUM_6_1,2024,602,108,0.37962962962962965,0.1893687707641196,2.0047108512020793
MOMENTUM_6_1,2025,343,61,0.16393442622950818,0.282798833819242,0.5796856515125908
MOMENTUM_LOW_VOL,2017,220,49,0.12244897959183673,0.3,0.40816326530612246
MOMENTUM_LOW_VOL,2018,243,44,0.3409090909090909,0.27983539094650206,1.218248663101604
MOMENTUM_LOW_VOL,2019,229,37,0.10810810810810811,0.13973799126637554,0.7736486486486487
MOMENTUM_LOW_VOL,2020,188,35,0.2,0.28191489361702127,0.709433962264151
MOMENTUM_LOW_VOL,2021,229,49,0.02040816326530612,0.034934497816593885,0.5841836734693877
MOMENTUM_LOW_VOL,2022,275,55,0.01818181818181818,0.05454545454545454,0.3333333333333333
MOMENTUM_LOW_VOL,2023,263,53,0.05660377358490566,0.22053231939163498,0.25666883539362395
MOMENTUM_LOW_VOL,2024,240,50,0.18,0.24583333333333332,0.7322033898305085
MOMENTUM_LOW_VOL,2025,123,31,0.16129032258064516,0.2032520325203252,0.7935483870967742
