ticker,event_id,ex_date,payment_date,value_per_share,source
ENGI3,B3-RI:eb334b751f4a9e951c47aa359e0a9f86,2016-03-01,2016-03-08,0.0572,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D28:J28
ENGI3,B3-RI:6d8483e7e47db363292c801338271ca7,2016-08-18,2016-08-26,0.023,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D30:J30
ENGI3,B3-RI:71ed67f252a8094ecfed9f876738ad9e,2017-02-23,2017-03-08,0.0572,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D31:J31
ENGI3,B3-RI:ca38433ca73ced13f74c8a62afa2dfb2,2017-08-15,2017-09-01,0.056,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D33:J33
ENGI3,B3-RI:b666d327caa97275c0e5b9e19488bd8e,2018-03-01,2018-03-08,0.1,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D34:J34
ENGI3,B3-RI:a072046e414fea270fd2da8bd262cbac,2018-08-15,2018-09-04,0.056,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D36:J36
ENGI3,B3-RI:24c6901e85e6f8a6c2945f6d94afa7d8,2019-02-28,2019-03-11,0.13,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D37:J37
ENGI3,B3-RI:d22a733ca4465273a4d38c18acb6e0bc,2019-03-25,2019-04-10,0.03,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D38:J38
ENGI3,B3-RI:02e67223103dbe4c1598797e8a6d508e,2019-08-14,2019-08-23,0.056,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D40:J40
ENGI3,B3-RI:361326068a652b17f79d9928a859c422,2020-02-28,2020-04-03,0.064,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D41:J41
ENGI3,B3-RI:44bb258d00a932a024c2a0c1d7502bde,2020-08-19,2020-08-26,0.056,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D43:J43
ENGI3,B3-RI:fa9de287850ec3d74bff6487984e87c2,2021-03-22,2021-03-30,0.22,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D44:J44
