Name                                            Stmts   Miss Branch BrPart  Cover   Missing
-------------------------------------------------------------------------------------------
stocks_predictor\__init__.py                        0      0      0      0   100%
stocks_predictor\adjust.py                        149     15     68     13    86%   30-31, 51->50, 66, 85, 87, 143->exit, 172-174, 201, 259->267, 302, 319-322, 325, 334
stocks_predictor\analyst.py                        55     32     14      4    42%   33-57, 80, 84-87, 93-96, 105-109, 113-118, 122
stocks_predictor\backtest.py                      326     18     64     13    92%   123, 130-131, 141-142, 162, 171, 188, 191, 219-221, 233-236, 255->259, 257->259, 679, 722-723
stocks_predictor\cash_events.py                    85     12     38     10    82%   13, 30, 35, 41, 47, 65-68, 83, 84->86, 86->78, 99, 105
stocks_predictor\cash_source_audit.py              73     10     38      8    84%   19-20, 22, 35, 58, 62, 84, 92, 124, 127
stocks_predictor\config.py                        120      6     30      5    93%   37, 68, 71-72, 78, 117
stocks_predictor\continuous_cash.py               336     44    190     48    83%   49, 55-56, 62, 65, 68, 78, 123, 126, 151, 153, 158, 160, 162, 169, 171, 174, 181, 187, 193, 195, 201, 206, 224->178, 228, 230->233, 239, 242, 248, 290, 301, 303, 307, 308->exit, 325, 327, 329, 332, 337, 346, 354, 373, 376->370, 380, 398, 402, 414->420, 433, 438
stocks_predictor\continuous_research.py           177     33    100     27    78%   32, 34, 36, 40, 44, 48, 51, 53, 57, 60, 67, 73, 77, 98, 102, 122, 124, 129, 132, 138, 147, 157, 166, 169, 174, 176-180, 207-208, 242
stocks_predictor\cotahist.py                       94      1     24      2    97%   145->135, 173
stocks_predictor\cvm_pit.py                       305     45    136     36    81%   44, 74, 78, 82, 94, 97, 107, 109-111, 114, 135, 139, 142, 145, 159, 175, 178, 196, 253, 282, 287, 289->285, 307-310, 320, 328, 336, 341->343, 350, 365, 376, 381->379, 394-397, 402, 418, 430, 438, 445, 464, 471->452, 477-479
stocks_predictor\db.py                             40      3      4      1    91%   423-425
stocks_predictor\disclosed_accounting.py           19      1      8      3    85%   16->20, 19, 23->30
stocks_predictor\discovery_h17.py                 230     85    118     18    58%   24-25, 29, 48, 69, 75, 78, 89-91, 109-110, 124, 131, 133, 135-136, 149, 154->144, 156, 162-163, 168, 219-228, 238-289, 293-298, 302
stocks_predictor\discovery_reorganizations.py     197     86    116     14    54%   30, 32, 37, 41, 51, 81-82, 90, 101, 110, 121-122, 129, 140, 164, 171-182, 187-247, 251-255, 260
stocks_predictor\discovery_value.py               239    114    116     22    51%   32-38, 44, 46, 48-49, 63, 65, 70, 76, 78, 83, 91, 99, 102, 105, 113, 125, 130, 137, 149-158, 162-163, 175, 199, 204-205, 210, 222-255, 261-281, 285-317, 321-325, 330
stocks_predictor\discovery_value_repair.py         93     52     44      6    42%   22, 26, 29-30, 32->31, 52, 57-107, 111-115, 120
stocks_predictor\document_panel.py                 82      5     44      5    92%   45, 52, 105, 109, 111
stocks_predictor\economic_gate.py                  58      2     12      1    96%   29, 70
stocks_predictor\ecosystem_plugin.py                9      0      0      0   100%
stocks_predictor\execution.py                      31      1      8      1    95%   86
stocks_predictor\factor.py                        165     10     78     13    91%   15, 38, 53->51, 77->75, 97, 193, 203->201, 233, 283, 326, 329, 380, 388
stocks_predictor\ingest_cotahist.py                29      5      8      2    81%   15-17, 30, 37
stocks_predictor\ingest_cvm.py                    471     41    206     37    88%   144-146, 197, 202-203, 207->212, 224, 253, 296, 319, 359, 387, 390-392, 396, 401, 442, 445-447, 451, 453->449, 469-470, 499, 527, 532, 542, 565, 568, 698->696, 704, 819, 825, 851, 856, 859, 863->844, 911, 917, 939, 992, 995, 1024, 1040
stocks_predictor\ingest_rj_universe.py             80      4     26      2    94%   48-50, 103->102, 180
stocks_predictor\paper.py                          73      7     18      5    87%   58->65, 110, 111->117, 120, 144-147, 151
stocks_predictor\portfolio.py                      33      1      8      1    95%   82
stocks_predictor\profit_validation.py             115     59     60      7    45%   17, 38, 42, 49, 61, 72, 78, 86-108, 133-169
stocks_predictor\report.py                         56      3     12      2    93%   243-244, 283
stocks_predictor\retail_cash.py                   311     36    164     36    85%   21, 27, 45, 48->51, 69, 81, 94, 99, 108, 114, 128, 131, 137, 140, 143, 145, 155, 180, 193, 213, 229, 232, 235, 250, 253, 256, 258, 261, 307, 317->312, 335, 338, 348, 373, 378, 383-385
stocks_predictor\returns.py                        15      0      6      1    95%   18->17
stocks_predictor\rj_coda.py                        40      2     18      2    93%   34, 83
stocks_predictor\rj_episodes.py                    56      4     30      4    91%   53, 78, 109, 128
stocks_predictor\rj_families.py                   109     19     46     16    77%   35, 45, 48, 64, 69, 82, 86, 89, 103, 105, 107, 129, 135-136, 137->127, 154, 158, 189-190, 227
stocks_predictor\rj_families_next.py               73      7     28      6    87%   32, 36->35, 49, 72, 78-79, 124, 169
stocks_predictor\rj_judge.py                      115      2     44      3    97%   49, 124->122, 200
stocks_predictor\rj_judge_robust.py                56      4     20      4    89%   30, 54, 82-83, 85->73
stocks_predictor\rj_outcomes.py                    44      5     24      4    84%   28, 33, 39, 97-100
stocks_predictor\rj_pipeline.py                   146     32     44      2    81%   90, 367-369, 373-409, 413
stocks_predictor\rj_power.py                       67     26     24      1    64%   75, 100-133, 137
stocks_predictor\simulation.py                    269     44    156     37    79%   29, 32, 34, 48, 61-62, 70, 75, 103, 105, 107, 109, 111, 114, 128, 146-155, 159, 161->156, 164->156, 169, 203->212, 213, 243-244, 250, 254, 270->218, 279, 285, 289->293, 311-314, 350, 352, 353->358, 373-374, 380, 382, 390-391, 393
stocks_predictor\source_history.py                 88     14     32      8    82%   32, 34, 43, 87-93, 130, 133-134, 136, 171, 174-184
stocks_predictor\stock_events.py                   25      4     10      4    77%   8, 21, 23, 26
stocks_predictor\trials_gate.py                    81      4     12      3    92%   106-107, 174, 187, 192->194
stocks_predictor\universe.py                       40      7     18      2    81%   21, 40, 88-94
-------------------------------------------------------------------------------------------
TOTAL                                            5275    905   2264    439    79%
